dguid,alt_geo_code,geo_level,geo_name_full,geo_name,geo_kind,characteristic,population
2021S051259030238,59030238,Dissemination area,59030238,59030238,,"Population, 2021",508
2021S051259030241,59030241,Dissemination area,59030241,59030241,,"Population, 2021",485
2021S051259030244,59030244,Dissemination area,59030244,59030244,,"Population, 2021",469
2021A00055903041,5903041,Census subdivision,"Central Kootenay E, Regional district electoral area (RDA)",Central Kootenay E,Regional district electoral area (RDA),"Population, 2021",3897
2021S051259030159,59030159,Dissemination area,59030159,59030159,,"Population, 2021",453
2021S051259030163,59030163,Dissemination area,59030163,59030163,,"Population, 2021",826
2021S051259030167,59030167,Dissemination area,59030167,59030167,,"Population, 2021",636
2021S051259030229,59030229,Dissemination area,59030229,59030229,,"Population, 2021",452
2021S051259030230,59030230,Dissemination area,59030230,59030230,,"Population, 2021",530
2021S051259030231,59030231,Dissemination area,59030231,59030231,,"Population, 2021",528
2021S051259030232,59030232,Dissemination area,59030232,59030232,,"Population, 2021",472
2021A00055903043,5903043,Census subdivision,"Central Kootenay F, Regional district electoral area (RDA)",Central Kootenay F,Regional district electoral area (RDA),"Population, 2021",4116
2021S051259030142,59030142,Dissemination area,59030142,59030142,,"Population, 2021",437
2021S051259030143,59030143,Dissemination area,59030143,59030143,,"Population, 2021",503
2021S051259030165,59030165,Dissemination area,59030165,59030165,,"Population, 2021",382
2021S051259030166,59030166,Dissemination area,59030166,59030166,,"Population, 2021",731
2021S051259030169,59030169,Dissemination area,59030169,59030169,,"Population, 2021",592
2021S051259030233,59030233,Dissemination area,59030233,59030233,,"Population, 2021",522
2021S051259030234,59030234,Dissemination area,59030234,59030234,,"Population, 2021",376
2021S051259030235,59030235,Dissemination area,59030235,59030235,,"Population, 2021",573
2021A00055903045,5903045,Census subdivision,"Castlegar, City (CY)",Castlegar,City (CY),"Population, 2021",8338
2021S051259030178,59030178,Dissemination area,59030178,59030178,,"Population, 2021",741
2021S051259030180,59030180,Dissemination area,59030180,59030180,,"Population, 2021",432
2021S051259030181,59030181,Dissemination area,59030181,59030181,,"Population, 2021",475
2021S051259030182,59030182,Dissemination area,59030182,59030182,,"Population, 2021",448
2021S051259030183,59030183,Dissemination area,59030183,59030183,,"Population, 2021",609
