BC Geographic Name,Type,View on Map,GeoName ID
Ulkatcho 5,Indian Reserve,#REF!,65105
Ulkatcho 6,Indian Reserve,#REF!,65108
Umliisle 4,Indian Reserve,#REF!,67911
Uncha Lake 13A,Indian Reserve,#REF!,64856
Usk,Community,#REF!,35365
Uzta (Nahounli Creek) 4,Indian Reserve,#REF!,65837
Uzta (Nahounli Creek) 7A,Indian Reserve,#REF!,65838
Vanderhoof,District Municipality,#REF!,38682
Vanway,Community,#REF!,24346
Waulp 10,Indian Reserve,#REF!,65155
Weneez,Locality,#REF!,20134
West Landing,Locality,#REF!,20194
Western Island 14,Indian Reserve,#REF!,64857
Wet'suwet'en Village,Community,#REF!,54808
Wha T'a Noo 40,Indian Reserve,#REF!,60071
Wiley,Community,#REF!,40943
Williams Prairie Meadow 1A,Indian Reserve,#REF!,65807
Willowvale,Locality,#REF!,23059
Wistaria,Locality,#REF!,23172
Woodcock,Locality,#REF!,35615
Woodmere,Locality,#REF!,23993
Woodpecker,Community,#REF!,38029
Woyenne 27,Indian Reserve,#REF!,64882
Ye Koo Che 3,Indian Reserve,#REF!,64938
Ye Koos Lee 11,Indian Reserve,#REF!,64946
Yekooche,Locality,#REF!,53209
Yensischuck 3,Indian Reserve,#REF!,64849
Zaimoetz 5,Indian Reserve,#REF!,65334
Zimagord 3,Indian Reserve,#REF!,65331
Aglakumna 4A,Indian Reserve,#REF!,65607
Aglakumna-la 2,Indian Reserve,#REF!,65473
Ahnuhati 6,Indian Reserve,#REF!,65462
Ahta 3,Indian Reserve,#REF!,65363
Ain 6,Indian Reserve,#REF!,64695
Alalco 8,Indian Reserve,#REF!,65367
Alder Creek 70,Indian Reserve,#REF!,64791
Alert Bay,Village,#REF!,22627
Alert Bay 1,Indian Reserve,#REF!,65417
Alert Bay 1A,Indian Reserve,#REF!,65416
Ann Island 7,Indian Reserve,#REF!,65370
Apsagayu 1A,Indian Reserve,#REF!,65504
Ar-ce-wy-ee 4,Indian Reserve,#REF!,65429
Atluck,Community,#REF!,22672
Atnarko,Locality,#REF!,9836
Avery Island 92,Indian Reserve,#REF!,64727
Bat-l-ki 3,Indian Reserve,#REF!,65477
Beaver Cove,Community,#REF!,38117
Bees 6,Indian Reserve,#REF!,65829
Bella Bella 1,Indian Reserve,#REF!,64912
Bella Coola,Community,#REF!,3350
Bella Coola 1,Indian Reserve,#REF!,64995
Benson Lake,Locality,#REF!,22725
Bill Lake 37,Indian Reserve,#REF!,64749
Birnie Island 18,Indian Reserve,#REF!,64703
Black Slate 11,Indian Reserve,#REF!,64769
Burnt Cliff Islands 20,Indian Reserve,#REF!,64717
Campbell Island,Community,#REF!,29034
Canoona 2,Indian Reserve,#REF!,65047
Carm Creek 38,Indian Reserve,#REF!,64750
Channel Islands 33,Indian Reserve,#REF!,65699
Charles Creek 2,Indian Reserve,#REF!,65476
Chatscah 2,Indian Reserve,#REF!,64999
Ches-la-kee 3,Indian Reserve,#REF!,65426
Citeyats 9,Indian Reserve,#REF!,65411
Clatse 5,Indian Reserve,#REF!,64907
Clowel 13,Indian Reserve,#REF!,65399
Coal Harbour,Community,#REF!,24825
Cockmi 3,Indian Reserve,#REF!,64424
Coffin Island 3,Indian Reserve,#REF!,65470
Cohoe Point 20,Indian Reserve,#REF!,64678
Compton Island 6,Indian Reserve,#REF!,65507
Crab River (Crab Harbour) 18,Indian Reserve,#REF!,65391
Cracroft,Locality,#REF!,25433
Cumshewa,Locality,#REF!,29718
Cumshewas 7,Indian Reserve,#REF!,64765
Dadens,Locality,#REF!,56737
Dakiulis 7,Indian Reserve,#REF!,65361
Daningay 12,Indian Reserve,#REF!,64701
Dashken 22,Indian Reserve,#REF!,64721
Dawsons Landing,Locality,#REF!,26802
Dead Point 5,Indian Reserve,#REF!,65463
Dedagaus 8,Indian Reserve,#REF!,65374
Deena 3,Indian Reserve,#REF!,64777
Delkatla,Community,#REF!,37729
Dil-ma-sow 5,Indian Reserve,#REF!,65044
Dodge Cove,Community,#REF!,57860
Dolphin Island 1,Indian Reserve,#REF!,65396
Dove Island 12,Indian Reserve,#REF!,65500
Dug-da-myse 12,Indian Reserve,#REF!,65364
Dundas Island 32B,Indian Reserve,#REF!,64753
Echo Bay,Locality,#REF!,26059
Edye 93,Indian Reserve,#REF!,64728
Egeria Bay 19,Indian Reserve,#REF!,63581
Elcho 6,Indian Reserve,#REF!,63861
Ensheshese 13,Indian Reserve,#REF!,64708
Ensheshese 53,Indian Reserve,#REF!,64739
Far West Point 34,Indian Reserve,#REF!,64754
Finlayson Island 19,Indian Reserve,#REF!,64702
Firvale,Community,#REF!,12776
Fort Rupert,Community,#REF!,26140
Fort Rupert 1,Indian Reserve,#REF!,65359
Freda Point 4,Indian Reserve,#REF!,65464
Gander Island 14,Indian Reserve,#REF!,65388
Georgetown Mills,Locality,#REF!,36736
Gill Island 2,Indian Reserve,#REF!,65315
Giltoyees 13,Indian Reserve,#REF!,65830
Gleyka 6,Indian Reserve,#REF!,65496
Goo-ewe 8,Indian Reserve,#REF!,65070
Grassy Islet 2,Indian Reserve,#REF!,63283
Gribble Island 10,Indian Reserve,#REF!,65312
Grief Island 2,Indian Reserve,#REF!,64989
Guoyskun 22,Indian Reserve,#REF!,64679
Gwayasdums 1,Indian Reserve,#REF!,65365
Hagensborg,Community,#REF!,5189
Haina,Locality,#REF!,29087
Halowis 5,Indian Reserve,#REF!,65488
Hartley Bay,Community,#REF!,36221
Haylahte 3,Indian Reserve,#REF!,65606
Health Bay,Locality,#REF!,27058
Henderson's Ranch 11,Indian Reserve,#REF!,65394
Hiellen 2,Indian Reserve,#REF!,64691
Hippa,Locality,#REF!,29324
Hoonees 2,Indian Reserve,#REF!,64910
Hopetown,Community,#REF!,39896
Hopetown 10A,Indian Reserve,#REF!,65498
Howeet 8,Indian Reserve,#REF!,64980
Hunts Inlet,Locality,#REF!,36311
Hyde Creek,Community,#REF!,38202
Iakgwas 69,Indian Reserve,#REF!,64792
Iakvas 68,Indian Reserve,#REF!,64743
Imkusiyan 65,Indian Reserve,#REF!,64741
Island 14A,Indian Reserve,#REF!,64987
Ja We Yah's 99,Indian Reserve,#REF!,59980
Jalun 14,Indian Reserve,#REF!,64672
Jugwees (Minette Bay) 5,Indian Reserve,#REF!,65828
Juskatla,Community,#REF!,27927
Kadis 11,Indian Reserve,#REF!,65499
Kahas 7,Indian Reserve,#REF!,65307
Kaisun,Locality,#REF!,27936
Kai-too-kwis 15,Indian Reserve,#REF!,65483
Kajustus 10,Indian Reserve,#REF!,64982
Kakweken 4,Indian Reserve,#REF!,65360
Karlukwees 1,Indian Reserve,#REF!,65817
Kasika 36,Indian Reserve,#REF!,64756
Kasika 71,Indian Reserve,#REF!,64790
Kasika 72,Indian Reserve,#REF!,64789
Kasiks River 29,Indian Reserve,#REF!,64713
Kaste 6,Indian Reserve,#REF!,64768
Kateen River 39,Indian Reserve,#REF!,64751
Katit 1,Indian Reserve,#REF!,64423
Kawages 4,Indian Reserve,#REF!,65474
Kayel 8,Indian Reserve,#REF!,65310
Kdad-eesh 4,Indian Reserve,#REF!,65041
Keecekiltum 2,Indian Reserve,#REF!,65605
Keecha 11,Indian Reserve,#REF!,65401
Kemano,Community,#REF!,3166
Kemano 17,Indian Reserve,#REF!,65392
Kemsquit 1,Indian Reserve,#REF!,64996
Keogh 2,Indian Reserve,#REF!,65466
Keogh 3,Indian Reserve,#REF!,65492
Keogh 6,Indian Reserve,#REF!,65383
Kequesta 1,Indian Reserve,#REF!,65381
Keswar 16,Indian Reserve,#REF!,65398
Ketai 28,Indian Reserve,#REF!,64714
Keyarka 17,Indian Reserve,#REF!,65403
Khazisela 7,Indian Reserve,#REF!,65375
Khrana 4,Indian Reserve,#REF!,64778
Khtahda 10,Indian Reserve,#REF!,64722
Khutzemateen 49,Indian Reserve,#REF!,64760
Khyex 8,Indian Reserve,#REF!,64725
Kildala River (Thala) 10,Indian Reserve,#REF!,63781
Kiltala 2,Indian Reserve,#REF!,64426
Kimsquit,Locality,#REF!,4519
Kingcome,Locality,#REF!,25614
Kingcome Inlet,Locality,#REF!,25616
Kinmakanksk 6,Indian Reserve,#REF!,65043
Kioosta 15,Indian Reserve,#REF!,64675
Kippase 2,Indian Reserve,#REF!,65356
Kisameet 7,Indian Reserve,#REF!,64979
Kitamaat 1,Indian Reserve,#REF!,65816
Kitamaat 2,Indian Reserve,#REF!,65815
Kitamaat Village,Community,#REF!,38016
Kitasa 7,Indian Reserve,#REF!,65814
Kitasoo 1,Indian Reserve,#REF!,65048
Kitimat,District Municipality,#REF!,36122
Kitkahta 1,Indian Reserve,#REF!,65316
Kitkatla,Community,#REF!,38644
Kitlawaoo 10,Indian Reserve,#REF!,65412
Kitlope 16,Indian Reserve,#REF!,63621
Kitsemenlagan 19,Indian Reserve,#REF!,65336
Kitsemenlagan 19A,Indian Reserve,#REF!,65402
Kiusta,Locality,#REF!,35446
Klapthlon 5,Indian Reserve,#REF!,65395
Klapthlon 5A,Indian Reserve,#REF!,65407
Klemtu,Community,#REF!,28410
Klickseewy 7,Indian Reserve,#REF!,65384
'Kluémt 15,Indian Reserve,#REF!,59982
Knamadeek 52,Indian Reserve,#REF!,64740
Knokmolks 67,Indian Reserve,#REF!,64744
Kokish,Community,#REF!,25640
Ko-kwi-iss 14,Indian Reserve,#REF!,65480
Kokyet 1,Indian Reserve,#REF!,64988
Kooryet 12,Indian Reserve,#REF!,65410
Koqui 6,Indian Reserve,#REF!,64993
Kose 9,Indian Reserve,#REF!,64698
Ksabasn 50,Indian Reserve,#REF!,64738
Ksagwisgwas 62,Indian Reserve,#REF!,64748
Ksagwisgwas 63,Indian Reserve,#REF!,64747
Kshaoom 23,Indian Reserve,#REF!,64718
Ksui-la-das 6,Indian Reserve,#REF!,65423
Ktamgaodzen 51,Indian Reserve,#REF!,64737
Kuaste (Mud Bay)(Kildala Arm) 8,Indian Reserve,#REF!,63821
Kukwapa 5,Indian Reserve,#REF!,65475
Kul 18,Indian Reserve,#REF!,65404
Kuldekduma 7,Indian Reserve,#REF!,65422
Kulkayu (Hartley Bay) 4,Indian Reserve,#REF!,65813
Kulkayu (Hartley Bay) 4A,Indian Reserve,#REF!,65686
Kultah 4,Indian Reserve,#REF!,65450
Kumowdah 3,Indian Reserve,#REF!,65397
Kung,Locality,#REF!,35834
Kung 11,Indian Reserve,#REF!,64700
Kunhunoan 13,Indian Reserve,#REF!,65313
Kunsoot 9,Indian Reserve,#REF!,64981
Kunstamis 2,Indian Reserve,#REF!,65490
Kunstamis 2A,Indian Reserve,#REF!,65493
Kuthlo 18,Indian Reserve,#REF!,65485
Kwatlena 4,Indian Reserve,#REF!,64997
Kwatse 3,Indian Reserve,#REF!,65467
Kwetahkis 9,Indian Reserve,#REF!,65373
Kyarti 3,Indian Reserve,#REF!,64990
Kyex 64,Indian Reserve,#REF!,64742
Kye-yaa-la 1,Indian Reserve,#REF!,65369
Kyidagwis 2,Indian Reserve,#REF!,65366
Kyimla 11,Indian Reserve,#REF!,65358
Lachkul-jeets 6,Indian Reserve,#REF!,65308
Lachmach 16,Indian Reserve,#REF!,64705
Lackzuswadda 9,Indian Reserve,#REF!,65309
Lagins 5,Indian Reserve,#REF!,64767
Lanas 4,Indian Reserve,#REF!,64693
Lattkaloup 9,Indian Reserve,#REF!,65071
Lawanth 5,Indian Reserve,#REF!,65495
Lawnhill,Locality,#REF!,28799
Lax Kw'alaams,Community,#REF!,39283
Lax Kw'alaams 1,Indian Reserve,#REF!,65600
Lockeport,Locality,#REF!,29592
Maganktoon 56,Indian Reserve,#REF!,64733
Magwekstala 10,Indian Reserve,#REF!,65497
Mahmalillikullah 1,Indian Reserve,#REF!,65503
Mahpahkum 4,Indian Reserve,#REF!,65378
Malcolm Island 8,Indian Reserve,#REF!,65382
Mammin River 25,Indian Reserve,#REF!,64684
Maple Point 11,Indian Reserve,#REF!,65311
Maquazneecht Island 17,Indian Reserve,#REF!,65454
Mary Cove 12,Indian Reserve,#REF!,65066
Masset,Village,#REF!,35755
Masset 1,Indian Reserve,#REF!,64690
Matsqui 4,Indian Reserve,#REF!,64414
Meagwan 8,Indian Reserve,#REF!,64697
Meanlaw 24,Indian Reserve,#REF!,64719
Meem Quam Leese,Locality,#REF!,54300
Meetup 2,Indian Reserve,#REF!,65362
Metlakatla,Community,#REF!,35797
Meyanlow 58,Indian Reserve,#REF!,64735
Minstrel Island,Community,#REF!,25828
Misgatlee 14,Indian Reserve,#REF!,65812
Mitchell Bay,Locality,#REF!,38231
Naden 10,Indian Reserve,#REF!,64699
Naden 23,Indian Reserve,#REF!,64682
Na-kwockto 2,Indian Reserve,#REF!,65380
Namu,Locality,#REF!,26635
Nathlegalis 3,Indian Reserve,#REF!,65486
Ndakdolk 54,Indian Reserve,#REF!,64734
Nechako,Urban Community,#REF!,38629
Neekas 4,Indian Reserve,#REF!,64991
Nekite 2,Indian Reserve,#REF!,65487
New Clew,Locality,#REF!,30190
New Clew 10,Indian Reserve,#REF!,64772
Nimpkish,Community,#REF!,24128
Nimpkish 2,Indian Reserve,#REF!,65427
Nimpkish Heights,Locality,#REF!,38243
Ninstints,Locality,#REF!,30207
Nishanocknawnak 35,Indian Reserve,#REF!,64755
Nooseseck 2,Indian Reserve,#REF!,65777
Noota 4,Indian Reserve,#REF!,64908
Oatswish 13,Indian Reserve,#REF!,65067
Ocean Falls,Community,#REF!,17918
Old Bella Bella,Community,#REF!,40476
Old Massett,Community,#REF!,41181
Oona River,Locality,#REF!,30298
Osland,Locality,#REF!,36922
O-tsaw-las 5,Indian Reserve,#REF!,65428
Oweekeno,First Nation Village,#REF!,54165
Owh-wis-too-a-wan 10,Indian Reserve,#REF!,65372
Owun 24,Indian Reserve,#REF!,64681
Pa-aat 6,Indian Reserve,#REF!,65408
Pahas 3,Indian Reserve,#REF!,65379
Pel-looth'l kai 17,Indian Reserve,#REF!,65780
Peneece 11,Indian Reserve,#REF!,65479
Pitt Island 27,Indian Reserve,#REF!,64715
Pole Island 14,Indian Reserve,#REF!,64986
Porcher Island,Locality,#REF!,37003
Port Clements,Village,#REF!,38419
Port Edward,District Municipality,#REF!,37008
Port Essington,Community,#REF!,27590
Port Essington,Indian Reserve,#REF!,65325
Port Hardy,District Municipality,#REF!,26513
Port McNeill,Town,#REF!,27217
Prince Leboo Island 32,Indian Reserve,#REF!,64711
Prince Rupert,City,#REF!,37023
Quaal 3,Indian Reserve,#REF!,65318
Quaal 3A,Indian Reserve,#REF!,65317
Quaee 7,Indian Reserve,#REF!,65472
Quartcha 3,Indian Reserve,#REF!,64909
Quatsino Subdivision 18,Indian Reserve,#REF!,65468
Quattishe 1,Indian Reserve,#REF!,65453
Quay 4,Indian Reserve,#REF!,65494
Quckwa 7,Indian Reserve,#REF!,65069
"Queen Charlotte, Village of",Village,#REF!,57780
Rose Harbour,Locality,#REF!,30777
Rushton Island 90,Indian Reserve,#REF!,64729
Rykerts,Locality,#REF!,22839
S1/2 Tsimpsean 2,Indian Reserve,#REF!,60480
Saagoombahlah 6,Indian Reserve,#REF!,65376
Saint Joe 10,Indian Reserve,#REF!,65072
Salvus 26,Indian Reserve,#REF!,64716
Sand Island 4,Indian Reserve,#REF!,65409
Sandspit,Community,#REF!,30348
Saouchten 18,Indian Reserve,#REF!,64676
Satunquin 5,Indian Reserve,#REF!,64694
Scott Cove,Locality,#REF!,39684
Scuttsap 11,Indian Reserve,#REF!,64723
Scuttsap 11A,Indian Reserve,#REF!,64726
Sewall,Locality,#REF!,30637
Sewell Inlet,Community,#REF!,30640
Shannon Bay,Locality,#REF!,30788
Shawl Bay,Locality,#REF!,39768
Shearwater,Locality,#REF!,40848
Sheganny 14,Indian Reserve,#REF!,65400
Shell Island 3,Indian Reserve,#REF!,65357
Shoowahtlans (Shawtlans) 4,Indian Reserve,#REF!,64724
Sim Creek 5,Indian Reserve,#REF!,65465
Skaigha 2,Indian Reserve,#REF!,64780
Skedance 8,Indian Reserve,#REF!,64766
Skedans,Locality,#REF!,31122
Skidegate,Community,#REF!,53254
Skidegate 1,Indian Reserve,#REF!,64779
Skidegate Landing,Locality,#REF!,40863
Skilak 14,Indian Reserve,#REF!,65068
Skowquiltz River 3,Indian Reserve,#REF!,64998
Small Island 4,Indian Reserve,#REF!,65471
Sointula,Community,#REF!,38266
South Bentinck,Locality,#REF!,40872
Spakels 17,Indian Reserve,#REF!,64704
Spanaknok 57,Indian Reserve,#REF!,64736
Spayaks 60,Indian Reserve,#REF!,64746
Spokwan 48,Indian Reserve,#REF!,64759
Squaderee 91,Indian Reserve,#REF!,64730
Stuie,Community,#REF!,8740
Sullivan Bay,Locality,#REF!,24516
Susk 17,Indian Reserve,#REF!,64677
Ta-a-ack 5,Indian Reserve,#REF!,65377
Tahla (Kildala) 4,Indian Reserve,#REF!,63841
Taleomy 3,Indian Reserve,#REF!,64994
Tallheo,Locality,#REF!,17594
Tankeah 5,Indian Reserve,#REF!,64992
Tanoo 9,Indian Reserve,#REF!,64771
Tanu,Locality,#REF!,30887
Tatense 16,Indian Reserve,#REF!,64674
Tcimotf 1A,Indian Reserve,#REF!,64911
Telegraph Cove,Locality,#REF!,38277
Thomas Point 5,Indian Reserve,#REF!,65386
Thomas Point 5A,Indian Reserve,#REF!,65385
Thompson Sound,Locality,#REF!,15784
Thurston Harbour,Locality,#REF!,31251
Tiahn 27,Indian Reserve,#REF!,64683
Tlaa Gaa Aawtlaas 28,Indian Reserve,#REF!,60432
Tlell,Community,#REF!,31382
Toksee 4,Indian Reserve,#REF!,65489
Toon 15,Indian Reserve,#REF!,64706
Toowartz 8,Indian Reserve,#REF!,65406
Tosehka (Eagle Bay) 12,Indian Reserve,#REF!,65393
Tsai-kwi-ee 13,Indian Reserve,#REF!,65481
Tsawwati 1,Indian Reserve,#REF!,65469
Tseetsum-Sawlasilah 6,Indian Reserve,#REF!,65491
Tsimlairen 15,Indian Reserve,#REF!,65405
Tsimtack 7,Indian Reserve,#REF!,65413
Tsulquate 4,Indian Reserve,#REF!,65387
Tuck Inlet 89,Indian Reserve,#REF!,64732
Tugwell Island 21,Indian Reserve,#REF!,64720
Turtle Point 12,Indian Reserve,#REF!,65314
Tymgowzan 12,Indian Reserve,#REF!,64709
Ulthakoush 11,Indian Reserve,#REF!,65065
Union Bay 31,Indian Reserve,#REF!,64712
Walden 9,Indian Reserve,#REF!,59981
Walth 3,Indian Reserve,#REF!,65835
Warner Bay,Locality,#REF!,26903
Waump 16,Indian Reserve,#REF!,65482
Wawwat'l 12,Indian Reserve,#REF!,65478
Wazulis 14,Indian Reserve,#REF!,60461
Weeteeam 3,Indian Reserve,#REF!,65042
Weewanie,Locality,#REF!,27622
Wekellals 15,Indian Reserve,#REF!,65784
Werkinellek 11,Indian Reserve,#REF!,64983
Wilnaskancaud 3,Indian Reserve,#REF!,64685
Wilskaskammel 14,Indian Reserve,#REF!,64707
Woss,Community,#REF!,25553
Wudzimagon 61,Indian Reserve,#REF!,64745
Wyclese 1,Indian Reserve,#REF!,65484
Yagan 3,Indian Reserve,#REF!,64692
Yaku,Locality,#REF!,35626
Yan 7,Indian Reserve,#REF!,64696
Yasitkun 21,Indian Reserve,#REF!,64680
Yatze 13,Indian Reserve,#REF!,64673
Yellertlee 12,Indian Reserve,#REF!,64984
Yeo Island 13,Indian Reserve,#REF!,64985
Zayas Island 32A,Indian Reserve,#REF!,64710
100 Mile House,District Municipality,#REF!,30137
105 Mile House,Locality,#REF!,40759
108 Mile Ranch,Community,#REF!,40755
111 Mile House,Locality,#REF!,30140
114 Mile House,Locality,#REF!,30142
122 Mile House,Locality,#REF!,40768
127 Mile House,Locality,#REF!,40767
141 Mile House,Community,#REF!,40763
150 Mile House,Community,#REF!,40758
93 Mile,Community,#REF!,30205
Abuntlet Lake 4,Indian Reserve,#REF!,65106
Agats Meadow 8,Indian Reserve,#REF!,64652
Alexandria,Community,#REF!,754
Alexandria 1,Indian Reserve,#REF!,64665
Alexandria 10,Indian Reserve,#REF!,64646
Alexandria 11,Indian Reserve,#REF!,64647
Alexandria 12,Indian Reserve,#REF!,64645
Alexandria 1A,Indian Reserve,#REF!,59985
Alexandria 3,Indian Reserve,#REF!,64671
Alexandria 3A,Indian Reserve,#REF!,64670
Alexis Creek,Community,#REF!,759
Alexis Creek 12,Indian Reserve,#REF!,64440
Alexis Creek 13,Indian Reserve,#REF!,64438
Alexis Creek 14,Indian Reserve,#REF!,64439
Alexis Creek 15,Indian Reserve,#REF!,64444
Alexis Creek 16,Indian Reserve,#REF!,64445
Alexis Creek 17,Indian Reserve,#REF!,64442
Alexis Creek 18,Indian Reserve,#REF!,64443
Alexis Creek 20,Indian Reserve,#REF!,64449
Alexis Creek 21,Indian Reserve,#REF!,64446
Alexis Creek 22,Indian Reserve,#REF!,64447
Alexis Creek 23,Indian Reserve,#REF!,64455
Alexis Creek 24,Indian Reserve,#REF!,64454
Alexis Creek 25,Indian Reserve,#REF!,64457
Alexis Creek 26,Indian Reserve,#REF!,64456
Alexis Creek 27,Indian Reserve,#REF!,64451
Alexis Creek 28,Indian Reserve,#REF!,64450
Alexis Creek 29,Indian Reserve,#REF!,64453
Alexis Creek 30,Indian Reserve,#REF!,64452
Alexis Creek 31,Indian Reserve,#REF!,64463
Alexis Creek 32,Indian Reserve,#REF!,64462
Alexis Creek 33,Indian Reserve,#REF!,64465
Alexis Creek 34,Indian Reserve,#REF!,64464
Alexis Creek 35,Indian Reserve,#REF!,64458
Alexis Creek 6,Indian Reserve,#REF!,64654
Alixton 5,Indian Reserve,#REF!,64472
Alkali Lake,Community,#REF!,27787
Alkali Lake 1,Indian Reserve,#REF!,64459
Alkali Lake 4A,Indian Reserve,#REF!,64471
Anahim 10,Indian Reserve,#REF!,64497
Anahim 11,Indian Reserve,#REF!,64492
Anahim 12,Indian Reserve,#REF!,64495
Anahim 13,Indian Reserve,#REF!,64490
Anahim 14,Indian Reserve,#REF!,64493
Anahim 15,Indian Reserve,#REF!,64505
Anahim 16,Indian Reserve,#REF!,64491
Anahim 17,Indian Reserve,#REF!,64503
Anahim 18,Indian Reserve,#REF!,64504
Anahim 3,Indian Reserve,#REF!,64484
Anahim 4,Indian Reserve,#REF!,64487
Anahim 5,Indian Reserve,#REF!,64482
Anahim 6,Indian Reserve,#REF!,64485
Anahim 7,Indian Reserve,#REF!,64496
Anahim 8,Indian Reserve,#REF!,64483
Anahim 9,Indian Reserve,#REF!,64494
Anahim Lake,Community,#REF!,1497
Anahim's Flat 1,Indian Reserve,#REF!,64488
Anahim's Meadow 2,Indian Reserve,#REF!,64486
Anahim's Meadow 2A,Indian Reserve,#REF!,64489
Andy Cahoose Meadow 16,Indian Reserve,#REF!,65133
Asahal Lake 2,Indian Reserve,#REF!,65121
Australian,Community,#REF!,10338
Baezaeko River 25,Indian Reserve,#REF!,64542
Baezaeko River 26,Indian Reserve,#REF!,64541
Baezaeko River 27,Indian Reserve,#REF!,64544
Baker Creek,Locality,#REF!,40032
Baptiste Meadow 2,Indian Reserve,#REF!,65116
Barkerville,Community,#REF!,11124
Barlow Creek,Community,#REF!,37830
Beaver Pass House,Locality,#REF!,2819
Becher House,Locality,#REF!,28279
Betty Creek 18,Indian Reserve,#REF!,65135
Big Creek,Locality,#REF!,34749
Big Joe's Meadow 7,Indian Reserve,#REF!,64643
Big Lake Ranch,Locality,#REF!,5030
Bishop Bluffs 10,Indian Reserve,#REF!,64519
Bishop Bluffs 5,Indian Reserve,#REF!,64514
Bishop Bluffs 6,Indian Reserve,#REF!,64515
Black Creek,Locality,#REF!,5646
Blackwater,Locality,#REF!,5710
Blackwater Meadow 11,Indian Reserve,#REF!,65112
Bouchie Lake,Community,#REF!,409
Bridge Lake,Community,#REF!,28715
Brigham Creek 3,Indian Reserve,#REF!,65025
Buffalo Creek,Community,#REF!,28985
Cahoose 10,Indian Reserve,#REF!,65109
Cahoose 12,Indian Reserve,#REF!,65111
Cahoose 8,Indian Reserve,#REF!,65107
Canim Lake,Community,#REF!,29173
Canim Lake 1,Indian Reserve,#REF!,64502
Canim Lake 2,Indian Reserve,#REF!,64501
Canim Lake 3,Indian Reserve,#REF!,65803
Canim Lake 4,Indian Reserve,#REF!,64499
Canim Lake 5,Indian Reserve,#REF!,64500
Canim Lake 6,Indian Reserve,#REF!,64498
Canoe Creek 3,Indian Reserve,#REF!,64512
Carpenter Mountain 15,Indian Reserve,#REF!,65127
Casimiel Meadows 15A,Indian Reserve,#REF!,65132
Castle Rock,Community,#REF!,38128
Charley Boy's Meadow 3,Indian Reserve,#REF!,64655
Charlotte Lake,Locality,#REF!,54701
Chezacut,Community,#REF!,5825
Chezacut Cemetery 5,Indian Reserve,#REF!,64653
Chief Morris 13,Indian Reserve,#REF!,64535
Chilanko Forks,Community,#REF!,37728
Chilco Lake 1,Indian Reserve,#REF!,65012
Chilco Lake 1A,Indian Reserve,#REF!,65011
Chilcotin Forest,Community,#REF!,38555
Chimney Creek 5,Indian Reserve,#REF!,65125
Cinema,Locality,#REF!,9896
Cluchuta Lake 10A,Indian Reserve,#REF!,64520
Cluchuta Lake 10B,Indian Reserve,#REF!,64521
Cludolicum 9,Indian Reserve,#REF!,64468
Cludolicum 9A,Indian Reserve,#REF!,64469
Coglistiko River 29,Indian Reserve,#REF!,64543
Coldspring House,Locality,#REF!,10818
Commodore Heights,Community,#REF!,41161
Cottonwood,Locality,#REF!,4018
Deep Creek 2,Indian Reserve,#REF!,65029
Deka Lake,Locality,#REF!,54040
Dog Creek,Community,#REF!,27729
Dog Creek,Community,#REF!,41164
Dog Creek 1,Indian Reserve,#REF!,64506
Dog Creek 2,Indian Reserve,#REF!,64525
Dog Creek 3,Indian Reserve,#REF!,64522
Dog Creek 4,Indian Reserve,#REF!,64524
Dragon Lake 3,Indian Reserve,#REF!,65034
Dugan Lake,Locality,#REF!,40327
Dunkley,Community,#REF!,15615
Eagle Creek,Community,#REF!,27990
Enterprise,Locality,#REF!,28222
Esler,Community,#REF!,41162
Euchinico Creek 17,Indian Reserve,#REF!,64531
Euchinico Creek 18,Indian Reserve,#REF!,64534
Euchinico Creek 19,Indian Reserve,#REF!,64533
Exeter,Locality,#REF!,28245
Fishpot Lake 24,Indian Reserve,#REF!,64540
Fishtrap 19,Indian Reserve,#REF!,59984
Five Mile 3,Indian Reserve,#REF!,65122
Forest Grove,Community,#REF!,28503
Freddie Charley Boy 7,Indian Reserve,#REF!,64686
Freddie's Meadow 8,Indian Reserve,#REF!,64640
Gang Ranch,Community,#REF!,28559
Garden 2,Indian Reserve,#REF!,65010
Garden 2A,Indian Reserve,#REF!,65039
Gateway,Community,#REF!,28567
Glendale,Community,#REF!,37644
Hanceville,Locality,#REF!,29106
Hay Ranch 2,Indian Reserve,#REF!,64664
Horsefly,Community,#REF!,18367
Hydraulic,Locality,#REF!,15715
Isadore Harry 12,Indian Reserve,#REF!,64481
James Louie 3A,Indian Reserve,#REF!,65123
Johny Sticks 2,Indian Reserve,#REF!,64461
Keithley Creek,Locality,#REF!,3133
Kersley,Community,#REF!,3791
K'i Deldel,Locality,#REF!,71861
Kleena Kleene,Community,#REF!,36170
Kloyadingli 2,Indian Reserve,#REF!,64527
Kluskus 1,Indian Reserve,#REF!,64526
Kluskus 14,Indian Reserve,#REF!,64557
Kushya Creek 12,Indian Reserve,#REF!,64536
Kushya Creek 7,Indian Reserve,#REF!,64516
Lac la Hache,Community,#REF!,28744
Lees Corner,Locality,#REF!,28805
Lezbye 6,Indian Reserve,#REF!,65035
Likely,Community,#REF!,1395
Little Springs 18,Indian Reserve,#REF!,64477
Little Springs 8,Indian Reserve,#REF!,64467
Lohbiee 3,Indian Reserve,#REF!,65040
Lone Butte,Community,#REF!,38599
Loon Lake 10,Indian Reserve,#REF!,64478
