"Geo Code","Geo Name","Line Number"
"2021S051259070147","59070147",1418111
"2021A00055907808","Alexis 9",1420742
"2021S051259070150","59070150",1423373
"2021A00055907809","Ashnola 10",1426004
"2021S051259070148","59070148",1428635
"2021A00055907850","Lulu 5",1431266
"2021S051259070319","59070319",1433897
"2021A00035909","Fraser Valley",1436528
"2021A00055909009","Hope",1439159
"2021S051259090636","59090636",1441790
"2021S051259090637","59090637",1444421
"2021S051259090638","59090638",1447052
"2021S051259090639","59090639",1449683
"2021S051259090644","59090644",1452314
"2021S051259090645","59090645",1454945
"2021S051259090646","59090646",1457576
"2021S051259090647","59090647",1460207
"2021S051259090648","59090648",1462838
"2021S051259090649","59090649",1465469
"2021S051259090650","59090650",1468100
"2021S051259090651","59090651",1470731
"2021S051259090652","59090652",1473362
"2021A00055909014","Fraser Valley A",1475993
"2021S051259090773","59090773",1478624
"2021S051259090777","59090777",1481255
"2021S051259090778","59090778",1483886
"2021S051259090779","59090779",1486517
"2021S051259090810","59090810",1489148
"2021A00055909016","Fraser Valley B",1491779
"2021S051259090625","59090625",1494410
"2021S051259090630","59090630",1497041
"2021S051259090641","59090641",1499672
"2021S051259090642","59090642",1502303
"2021S051259090643","59090643",1504934
"2021S051259090653","59090653",1507565
"2021S051259090803","59090803",1510196
"2021S051259090804","59090804",1512827
"2021A00055909020","Chilliwack",1515458
"2021S051259090526","59090526",1518089
"2021S051259090530","59090530",1520720
"2021S051259090531","59090531",1523351
"2021S051259090532","59090532",1525982
"2021S051259090533","59090533",1528613
"2021S051259090534","59090534",1531244
"2021S051259090535","59090535",1533875
"2021S051259090536","59090536",1536506
"2021S051259090537","59090537",1539137
"2021S051259090538","59090538",1541768
"2021S051259090539","59090539",1544399
"2021S051259090540","59090540",1547030
"2021S051259090541","59090541",1549661
"2021S051259090542","59090542",1552292
"2021S051259090543","59090543",1554923
"2021S051259090544","59090544",1557554
"2021S051259090545","59090545",1560185
"2021S051259090546","59090546",1562816
"2021S051259090547","59090547",1565447
"2021S051259090550","59090550",1568078
"2021S051259090551","59090551",1570709
"2021S051259090552","59090552",1573340
"2021S051259090553","59090553",1575971
"2021S051259090554","59090554",1578602
"2021S051259090555","59090555",1581233
"2021S051259090556","59090556",1583864
"2021S051259090557","59090557",1586495
"2021S051259090559","59090559",1589126
"2021S051259090564","59090564",1591757
"2021S051259090565","59090565",1594388
"2021S051259090566","59090566",1597019
"2021S051259090567","59090567",1599650
"2021S051259090568","59090568",1602281
"2021S051259090569","59090569",1604912
"2021S051259090570","59090570",1607543
"2021S051259090571","59090571",1610174
"2021S051259090578","59090578",1612805
"2021S051259090579","59090579",1615436
"2021S051259090580","59090580",1618067
"2021S051259090581","59090581",1620698
"2021S051259090582","59090582",1623329
"2021S051259090583","59090583",1625960
"2021S051259090584","59090584",1628591
"2021S051259090585","59090585",1631222
"2021S051259090586","59090586",1633853
"2021S051259090592","59090592",1636484
"2021S051259090593","59090593",1639115
"2021S051259090594","59090594",1641746
"2021S051259090596","59090596",1644377
"2021S051259090597","59090597",1647008
"2021S051259090598","59090598",1649639
"2021S051259090655","59090655",1652270
"2021S051259090657","59090657",1654901
"2021S051259090660","59090660",1657532
"2021S051259090661","59090661",1660163
"2021S051259090662","59090662",1662794
"2021S051259090664","59090664",1665425
"2021S051259090665","59090665",1668056
"2021S051259090666","59090666",1670687
"2021S051259090670","59090670",1673318
"2021S051259090671","59090671",1675949
"2021S051259090680","59090680",1678580
"2021S051259090681","59090681",1681211
"2021S051259090682","59090682",1683842
"2021S051259090683","59090683",1686473
"2021S051259090684","59090684",1689104
"2021S051259090687","59090687",1691735
"2021S051259090688","59090688",1694366
"2021S051259090689","59090689",1696997
"2021S051259090690","59090690",1699628
"2021S051259090691","59090691",1702259
"2021S051259090692","59090692",1704890
"2021S051259090694","59090694",1707521
"2021S051259090696","59090696",1710152
"2021S051259090702","59090702",1712783
"2021S051259090703","59090703",1715414
"2021S051259090704","59090704",1718045
"2021S051259090707","59090707",1720676
"2021S051259090708","59090708",1723307
"2021S051259090709","59090709",1725938
"2021S051259090710","59090710",1728569
"2021S051259090711","59090711",1731200
"2021S051259090713","59090713",1733831
"2021S051259090714","59090714",1736462
"2021S051259090716","59090716",1739093
"2021S051259090768","59090768",1741724
"2021S051259090816","59090816",1744355
"2021S051259090817","59090817",1746986
"2021S051259090818","59090818",1749617
"2021S051259090819","59090819",1752248
"2021S051259090820","59090820",1754879
"2021S051259090821","59090821",1757510
"2021S051259090822","59090822",1760141
"2021S051259090824","59090824",1762772
"2021S051259090825","59090825",1765403
"2021S051259090826","59090826",1768034
"2021S051259090828","59090828",1770665
"2021S051259090829","59090829",1773296
"2021S051259090830","59090830",1775927
"2021S051259090831","59090831",1778558
"2021S051259090832","59090832",1781189
"2021S051259090836","59090836",1783820
"2021S051259090837","59090837",1786451
"2021S051259090838","59090838",1789082
"2021S051259090839","59090839",1791713
"2021S051259090840","59090840",1794344
"2021S051259090841","59090841",1796975
"2021S051259090842","59090842",1799606
"2021S051259090845","59090845",1802237
"2021S051259090846","59090846",1804868
"2021S051259090847","59090847",1807499
"2021S051259090848","59090848",1810130
"2021S051259090849","59090849",1812761
"2021S051259090850","59090850",1815392
"2021S051259090851","59090851",1818023
"2021S051259090852","59090852",1820654
"2021S051259090853","59090853",1823285
"2021S051259090854","59090854",1825916
"2021S051259090856","59090856",1828547
"2021S051259090857","59090857",1831178
"2021S051259090859","59090859",1833809
"2021S051259090861","59090861",1836440
"2021S051259090863","59090863",1839071
"2021S051259090864","59090864",1841702
"2021S051259090865","59090865",1844333
"2021S051259090866","59090866",1846964
"2021S051259090868","59090868",1849595
"2021S051259090869","59090869",1852226
"2021S051259090973","59090973",1854857
"2021S051259090981","59090981",1857488
"2021S051259090982","59090982",1860119
"2021A00055909027","Harrison Hot Springs",1862750
"2021S051259090612","59090612",1865381
"2021S051259090613","59090613",1868012
"2021S051259090614","59090614",1870643
"2021A00055909032","Kent",1873274
"2021S051259090603","59090603",1875905
"2021S051259090605","59090605",1878536
"2021S051259090606","59090606",1881167
"2021S051259090607","59090607",1883798
"2021S051259090608","59090608",1886429
"2021S051259090609","59090609",1889060
"2021S051259090610","59090610",1891691
