geoname_id,bc_geographic_name,geoname_type,lon,lat,bcgn_name,bcgn_feature_type,da_uid,da_population,da_match,da_distance_m,csd_uid,csd_name,csd_type,csd_population,csd_match,csd_distance_m,name_agrees_with_csd,muni_name,muni_type,muni_population,muni_population_year,muni_population_latest,muni_latest_year,place_population,place_population_basis,place_population_source,place_population_confidence,geo_level,geo_uid,geo_shared_with,parent_geoname_id,parent_name,is_nested,is_primary,note
65846,Tatla West 11,Indian Reserve,-126.4987710539,53.9872945675,Tatla West 11,Indian Reserve-Réserve indienne,59510222,422,contains,0.0,5951825,Tatla West 11,Indian reserve,0,nearest-name,61.6,yes,,,,,,,0,csd,"2021 Census, census subdivision",medium,csd,5951825,0,,,FALSE,TRUE,"the point lies 62 m outside the same-named census subdivision, inside Bulkley-Nechako E; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Tatla West 11 itself"
65825,Tatla't East 2,Indian Reserve,-126.4890485113,53.987294693,Tatla't East 2,Indian Reserve-Réserve indienne,59510220,0,contains,0.0,5951833,Tatla't East 2,Indian reserve,0,contains,0.0,yes,,,,,,,0,csd,"2021 Census, census subdivision",high,csd,5951833,0,,,FALSE,TRUE,"the geoname names its containing census subdivision, so this is the population of Tatla't East 2 itself"
18478,Tatlow,Locality,-127.1182631964,54.6997954643,Tatlow,Locality,59510168,233,contains,0.0,5951051,Bulkley-Nechako A,Regional district electoral area,5587,contains,0.0,no,,,,,,,233,da,"2021 Census, dissemination area",high,da,59510168,0,,,FALSE,TRUE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65792,Tatsadah Lake 14,Indian Reserve,-123.914444444,54.3141666638,Tatsadah Lake 14,Indian Reserve-Réserve indienne,59510251,470,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,470,da,"2021 Census, dissemination area",high,da,59510251,6,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65808,Tatselawas (Stuart River) 2,Indian Reserve,-124.1927777782,54.3030555522,Tatselawas (Stuart River) 2,Indian Reserve-Réserve indienne,59510251,470,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,470,da,"2021 Census, dissemination area",high,da,59510251,6,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64923,Tatuk Lake 7,Indian Reserve,-124.2847928126,53.5498172211,Tatuk Lake 7,Indian Reserve-Réserve indienne,59510240,485,contains,0.0,5951019,Bulkley-Nechako F,Regional district electoral area,3517,contains,0.0,no,,,,,,,485,da,"2021 Census, dissemination area",high,da,59510240,2,,,FALSE,TRUE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
18543,Tchesinkut Lake,Community,-125.7348603612,54.0831388308,Tchesinkut Lake,Community,59510213,560,contains,0.0,5951031,Bulkley-Nechako E,Regional district electoral area,1512,contains,0.0,no,,,,,,,560,da,"2021 Census, dissemination area",high,da,59510213,7,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64941,Teeslee 15,Indian Reserve,-124.9513888893,54.8180555527,Teeslee 15,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60089,Teh Noo'n Che 49,Indian Reserve,-125.5511111115,55.0797222196,Teh Noo'n Che 49,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
18587,Telachick,Locality,-123.2014335176,53.8665007195,Telachick,Locality,59530231,479,contains,0.0,5953042,Fraser-Fort George C,Regional district electoral area,3603,contains,0.0,no,,,,,,,479,da,"2021 Census, dissemination area",high,da,59530231,1,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
18602,Telkwa,Village,-127.050833334,54.6966666641,Telkwa,Village (1),59510171,888,contains,0.0,5951038,Telkwa,Village,1474,contains,0.0,yes,Telkwa,Village,1543,2021,1544,2025,1543,municipal,"BC Stats population estimate, July 1 2021",high,csd,5951038,0,,,FALSE,TRUE,"this is the population of the municipality of Telkwa itself, as estimated by BC Stats for 2021 (the 2021 census counted 1,474)"
27511,Terrace,City,-128.5995868999,54.5173964682,Terrace,City,59490132,429,contains,0.0,5949011,Terrace,City,12017,contains,0.0,yes,Terrace,City,12604,2021,13648,2025,12604,municipal,"BC Stats population estimate, July 1 2021",high,csd,5949011,0,,,FALSE,TRUE,"this is the population of the municipality of Terrace itself, as estimated by BC Stats for 2021 (the 2021 census counted 12,017)"
64933,Tes Gha La 7A,Indian Reserve,-124.2005555553,54.6124999967,Tes Gha La 7A,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
